test;geometry;@id;id;@geometry;Ville et commune;Quartier;Catégorie;Nom de l'établissement
;-3.9575361,5.3534471;way/397667611;way/397667611;center;;;Hôpital;Polyclinique Le Panthéon Médical
;-5.0179017,6.5561466;way/398185867;way/398185867;center;;;Pharmacie;
;-5.2909602,6.8132072;way/399788313;way/399788313;center;;;Hôpital;Hôpital Saint-Joseph Moscati
;-6.5310595,5.3196413;way/404587838;way/404587838;center;;;Hôpital;
;-6.5311102,5.31922;way/404587839;way/404587839;center;;;Hôpital;
;-6.5311213,5.3193587;way/404587840;way/404587840;center;;;Hôpital;
;-6.5314437,5.3195226;way/404587841;way/404587841;center;;;Hôpital;
;-6.5308605,5.3194037;way/404587842;way/404587842;center;;;Hôpital;
;-6.5312454,5.3198075;way/404587843;way/404587843;center;;;Hôpital;
;-6.5313533,5.3195853;way/404587844;way/404587844;center;;;Hôpital;
;-6.5308982,5.3193006;way/404587845;way/404587845;center;;;Hôpital;
;-6.531002,5.3192722;way/404587846;way/404587846;center;;;Hôpital;
;-5.6329423,9.4443845;way/411403849;way/411403849;center;;;Pharmacie;Pharmacie
;-7.5490992,7.3988495;way/420247924;way/420247924;center;;;Clinique médicale;Clinique St Thérèse
;-3.9071884,6.9689142;way/420369800;way/420369800;center;;;Hôpital;
;-3.9665611,6.681921;way/420391409;way/420391409;center;;;Hôpital;Hôpital d'Arrah
;-7.5510285,7.3960406;way/426314641;way/426314641;center;;;Hôpital;Grandes Endemies
;-4.2119051,6.6544375;way/426365265;way/426365265;center;;;Hôpital;Hopital General
;-4.0161363,5.3238016;way/426830439;way/426830439;center;Plateau;;Hôpital;Centre Médical Chardy
;-3.7357647,5.207903;way/440687877;way/440687877;center;;;Hôpital;Hopital General de Grand-Bassam
;-4.087667,5.3408053;way/447047873;way/447047873;center;;;Clinique médicale;Clinique Sainte Rita de Cascia
;-3.986472,5.310661;way/447285101;way/447285101;center;Marcory;;Hôpital;Nouvelle Clinique Farah
;-7.3365697,6.7522168;way/450251819;way/450251819;center;;;Hôpital;Centre de Santé Urbain Diaye Bernard
;-7.33664,6.7519827;way/450251840;way/450251840;center;;;Hôpital;Centre de Santé Urbain Diaye Bernard
;-3.9578942,5.3537127;node/452867024;node/452867024;;;;Pharmacie;Pharmacie Saint-Pierre des Rosées
;-3.9612238,5.35528;node/452867033;node/452867033;;;;Pharmacie;Pharmacie Sainte-Agathe
;-3.9673062,5.3557089;node/452870824;node/452870824;;;;Pharmacie;Pharmacie Sainte-Famille
;-3.964647,5.3583662;node/454155316;node/454155316;;;;Pharmacie;Pharmacie Boulevard Mitterand
;-3.9535001,5.3483678;node/454179919;node/454179919;;;;Pharmacie;Pharmacie Riviera III
;-3.96193,5.3649815;way/481819538;way/481819538;center;;;Clinique médicale;Clinique Procréa
;-4.0902509,5.324548;way/491070550;way/491070550;center;;;Clinique médicale;Agefosyn
;-5.9445906,6.1260378;way/491696349;way/491696349;center;;;Hôpital;Centre Hospitalier Régional de Gagnoa
;-5.9495901,6.126568;way/520490284;way/520490284;center;Gagnoa;;Clinique médicale;Dispensaire Urbain de Gagnoa
;-3.8839607,5.3619447;way/533143498;way/533143498;center;;;Hôpital;Hôpital Mère-Enfant de Bingerville
;-3.8909212,5.3562253;way/533386257;way/533386257;center;;;Hôpital;PMI Bingerville
;-5.148919,6.6689141;way/534622977;way/534622977;center;;;Hôpital;centre de santé
;-6.4828771,9.5184897;way/567064230;way/567064230;center;;;Hôpital;Hôpital préfectoral de Boundiali
;-6.4826707,9.5184747;way/567064236;way/567064236;center;;;Pharmacie;
;-6.9463286,9.61097;way/567087639;way/567087639;center;;;Hôpital;Centre de Santé Urbain de Madinani
;-4.9985747,7.7269411;way/573228866;way/573228866;center;;;Hôpital;Coordination des Promoteurs de Groupes Poser Zone de Bouaké
;-4.9989435,7.7276395;way/573228870;way/573228870;center;;;Hôpital;Coordination des Promoteurs de Groupes Poser Zone de Bouaké
;-4.9987419,7.7277898;way/573228876;way/573228876;center;;;Hôpital;Coordination des Promoteurs de Groupes Poser Zone de Bouaké
;-6.6656173,4.7610857;way/578394079;way/578394079;center;;;Hôpital;Maternité Municipale Deleguée de Zimbabwe
;-7.5674728,7.3966622;way/581622223;way/581622223;center;;;Hôpital;
;-3.9744127,5.4571284;way/590880206;way/590880206;center;;;Hôpital;Centre hospitalier
;-4.3092071,6.0702439;way/596948982;way/596948982;center;;;Pharmacie;PHARMACIE GRACE ORILIA
;-4.860418,6.333806;way/618948239;way/618948239;center;;;Hôpital;Centre Hospitalier Rural
;-4.0773819,5.6459808;way/623469668;way/623469668;center;;;Clinique médicale;Centre de Santé urbain Azaguié
;-5.6078737,9.4870487;way/627413442;way/627413442;center;;;Hôpital;Maternité de Natio Kobadara
;-5.6078799,9.4872115;way/627413443;way/627413443;center;;;Hôpital;Maternité de Natio Kobadara
;-5.6076843,9.4872646;way/627413444;way/627413444;center;;;Hôpital;Maternité de Natio Kobadara
;-5.60783,9.4872802;way/627413445;way/627413445;center;;;Hôpital;Maternité de Natio Kobadara
;-4.5030656,7.0611351;way/634604144;way/634604144;center;;;Hôpital;Hôpital Général de Bocanda
;-5.7571458,5.6602527;way/658617687;way/658617687;center;;;Hôpital;Centre de Santé de Niambezaria
;-6.4840058,9.5177204;way/661204840;way/661204840;center;;;Hôpital;Croix Rouge Boundiali
;-6.4013476,6.9017199;way/683093809;way/683093809;center;;;Hôpital;Case de Santé
;-3.9597875,5.3049956;way/685903763;way/685903763;center;;;Clinique médicale;Centre Hospitalier Charismatique Eugene 1er
;-6.452129,6.9024809;way/687184785;way/687184785;center;;Lobia;Hôpital;Centre Medico-Churigical AMSU
;-4.0458498,5.5009784;way/691617797;way/691617797;center;Anyama;;Hôpital;"Hopital General d'Anyama;Hopital general d'Anyama"
;-4.0484132,5.4998405;way/691617798;way/691617798;center;Anyama;;Hôpital;Hopital des soeurs catholique ( Don orion)
;-7.4558354,5.8744185;way/697818570;way/697818570;center;;;Pharmacie;
;-3.9955695,7.6518907;way/713709297;way/713709297;center;;;Hôpital;Hopital Generale
;-3.977883,5.3391548;node/754535258;node/754535258;;;;Pharmacie;Pharmacie du Golf
;-3.9991673,5.3441976;way/756890518;way/756890518;center;;Cocody;Hôpital;"Clinique de Cocody cité des arts - Association medicale de la;Clinique de Cocody cité des arts - Association medicale de la grâce"
;-4.0807644,5.3245002;node/768587449;node/768587449;;Yopougon;;Pharmacie;Pharmacie Akadjoba
;-4.0736017,5.3397977;node/768587563;node/768587563;;Yopougon;;Pharmacie;Pharmacie Wakouboué
;-4.0731625,5.3468317;node/768587606;node/768587606;;Yopougon;;Pharmacie;Pharmacie Keneya
;-4.074345,5.3555133;node/768587666;node/768587666;;;;Pharmacie;Pharmacie Siporex
;-3.2898821,5.1359559;way/771418530;way/771418530;center;;;Hôpital;
;-3.9805265,5.4053782;node/773848800;node/773848800;;;;Pharmacie;Pharmacie de la Djibi
;-3.9808899,5.4030657;node/773849057;node/773849057;;;;Pharmacie;Pharmacie Sainte Harmony
;-3.9850849,5.4036228;node/773849141;node/773849141;;;;Pharmacie;Sainte Marte
;-3.9778985,5.4010592;node/773849163;node/773849163;;;;Pharmacie;8e Tranche
;-7.482245,6.5441456;way/785191305;way/785191305;center;;;Hôpital;Hopital général de Guiglo
;-4.0074227,5.381322;way/785813537;way/785813537;center;;Adjame;Hôpital;Hôpital Militaire d'Abidjan
;-3.9620988,5.2628976;way/785830346;way/785830346;center;;Port Bouet;Hôpital;Hôpital général de Port-Bouët
;-4.0163614,5.4237227;way/785843158;way/785843158;center;;Abobo;Hôpital;Hopital Général d'Abobo
;-4.0800482,5.3414366;way/785849320;way/785849320;center;Yopougon;;Hôpital;Hôpital général de Yopougon-Attié
;-4.0077282,5.4431151;way/785855885;way/785855885;center;;Abobo;Hôpital;Hôpital Houphouët-Boigny
;-5.5871816,5.1029013;way/785857859;way/785857859;center;;;Hôpital;Hôpital Général de Fresco
;-3.4863685,6.7314613;way/785863941;way/785863941;center;;;Hôpital;Médico-Scolaire
;-6.5587588,5.4067204;way/785865486;way/785865486;center;;;Hôpital;Hôpital Général de Méagui
;-3.2988058,5.2852072;way/785866729;way/785866729;center;Adiaké;;Hôpital;Hôpital Générale d'Adiaké
;-4.019068,5.3383835;way/785870625;way/785870625;center;Le Plateau;;Hôpital;Polyclinique de l'Indenié
;-3.8853012,5.3603027;way/785874777;way/785874777;center;;;Hôpital;Hôpital général de Bingerville
;-3.8831235,5.3602925;way/785875845;way/785875845;center;;;Hôpital;Hôpital psychiatrique de Bingerville
;-5.6318183,9.4431842;way/785880670;way/785880670;center;;;Hôpital;CHR Korhogo
;-5.6394615,9.461106;way/785884412;way/785884412;center;;;Hôpital;Centre de Santé Urbain de Koko-Ton
;-7.2376479,7.2568889;way/785885126;way/785885126;center;;;Hôpital;Hopital Général de Kouibly
;-7.4711256,7.3199813;way/785887348;way/785887348;center;;;Hôpital;Centre de Santé rural deTrokpadrou
;-8.096358,7.8604257;way/785890644;way/785890644;center;;;Hôpital;Centre de Santé Urbain de Sipilou
;-3.4837548,6.7308478;way/785901423;way/785901423;center;;;Hôpital;Centre Hospitalier Régional d'Abengourou
;-8.2952426,6.5211032;way/785903337;way/785903337;center;;;Hôpital;Centre de santé urbain
;-5.1051107,8.1439379;way/785907957;way/785907957;center;;;Hôpital;Hôpital Général
;-4.0141415,5.3207072;way/785909051;way/785909051;center;;;Hôpital;Polyclinique Groupe Médical du Plateau
;-3.5860253,5.2763698;way/785909929;way/785909929;center;;;Hôpital;Centre Don Orionne de Bonoua
;-7.3433898,6.7430868;way/786158431;way/786158431;center;Duékoué;;Hôpital;Hôpital Géneral de Duékoué
;-2.7931521,8.0407483;way/786162510;way/786162510;center;;;Hôpital;CHR de bondoukou
;-7.3367433,6.7521113;way/786176082;way/786176082;center;Duékoué;;Hôpital;Centre de Santé Urbain Diaye Bernard
;-6.6517859,4.7782667;way/786182431;way/786182431;center;;Bardot face pharmacie Bardot 2000;Hôpital;Centre de Santé Urbain Maternité Henriette Konan Bédié
;-3.9521216,5.3687581;way/786183151;way/786183151;center;;;Hôpital;"Polyclinique internationale Divine grâc;Polyclinique internationale Divine grâce"
;-3.3971235,5.393875;way/786183475;way/786183475;center;;;Hôpital;CSR N'ZIKRO
;-3.2065373,5.4747187;way/786185920;way/786185920;center;Aboisso;;Hôpital;District Sanitaire d'Aboisso
;-4.6964093,6.6539563;way/786187977;way/786187977;center;;;Hôpital;Chr Dimbokro
;-4.0241874,5.4387207;way/786190373;way/786190373;center;;Abobo;Hôpital;Hôpital Henriette Bédié l'Avocatier
;-5.0707376,6.2696913;way/786191607;way/786191607;center;;;Hôpital;Hôpital général de Taabo
;-5.6078343,9.4872372;way/786196003;way/786196003;center;;;Hôpital;Maternité de Natio Kobadara
;-4.7022325,6.6442865;way/786204989;way/786204989;center;;;Hôpital;Centre de santé urbain NDA
;-3.176109,5.18304;way/786207088;way/786207088;center;;;Hôpital;Centre de Santé d'Akounougbé
;-5.2119529,7.6943429;way/786207848;way/786207848;center;;;Hôpital;Maternité
;-5.0418116,7.6757877;way/786208273;way/786208273;center;;;Hôpital;Hôpital Psychiatrique de Bouaké
;-6.0727094,5.6918285;way/786209585;way/786209585;center;;;Hôpital;HÔPITAL GÉNÉRAL DE GUEYO
;-5.0378949,7.702452;way/786210496;way/786210496;center;;;Hôpital;Centre Anti-Tuberculeux de Bouaké
;-4.7654115,7.4242345;way/786212222;way/786212222;center;;;Hôpital;Dispensaire de Tié-N'Diékro
;-4.764797,7.4235258;way/786212639;way/786212639;center;;;Hôpital;Maternité de Tié-N'Diékro
;-4.3794227,5.3202382;way/786213499;way/786213499;center;;;Hôpital;Hôpital Général
;-4.8242354,5.8908506;way/786215656;way/786215656;center;;;Hôpital;Hôpital Général de Tiassalé
;-6.6362671,4.7464104;way/786216747;way/786216747;center;;Lac;Hôpital;Centre Hospitalier Régional de San Pédro
;-6.6564312,4.77905;way/786219623;way/786219623;center;;Victor ballet;Hôpital;Cabinet Medical Chinois Le Temple De La Guerrison
;-6.6630954,4.7715241;way/786482199;way/786482199;center;;Terre rouge;Hôpital;Formation de Santé Municipale Déléguée Dominique Ouattara
;-6.638763,4.7450973;way/786483987;way/786483987;center;;Lac;Hôpital;Institut d'hygène publique de san pedro
;-6.6384132,4.7455772;way/786492800;way/786492800;center;;Lac;Hôpital;Centre antituberculeux
;-5.9152113,6.6230166;way/786495631;way/786495631;center;;;Hôpital;Hôpital Général de Sinfra
;-6.6034159,5.7858034;way/786504825;way/786504825;center;;;Hôpital;Hôpital General
;-4.8603693,6.3339199;way/786507589;way/786507589;center;;;Hôpital;Centre Hospitalier Rural
;-3.8605747,6.1031253;way/786518492;way/786518492;center;;;Hôpital;Hôpital général d'azopé
;-7.5540206,7.4043549;way/786529438;way/786529438;center;;Camp sea;Hôpital;Criemosse man
;-7.5358104,7.4108041;way/786533456;way/786533456;center;;Soderie;Hôpital;Sainte famille
;-7.5298077,7.4090786;way/786536795;way/786536795;center;;Grand Gbapleu sur la route de facobly;Hôpital;Centre de santé urbain grand gbapleu
;-7.5478091,7.4063782;way/786544752;way/786544752;center;;Thérèse;Hôpital;Centre Hospitalier Régional de Man
;-7.5511731,7.4240063;way/786545495;way/786545495;center;;Kennedy;Hôpital;Infirmerie St Jean
;-7.5499291,7.4229031;way/786549530;way/786549530;center;;;Hôpital;Infirmerie Saint Jean
;-7.5511716,7.417054;way/786552807;way/786552807;center;;Petit Gbapleu;Hôpital;Infirmerie Privée sans Frontière
;-7.5427984,7.4121005;way/786553548;way/786553548;center;;Avorkatier;Hôpital;Infirmerie guyonal
;-7.565363,7.4106572;way/786554313;way/786554313;center;;Domoraud;Hôpital;Centre de santé urbain de Gbêpleu(HKB)
;-7.5520895,7.409792;way/786559791;way/786559791;center;;Dioulabougou;Hôpital;Centre de Santé Urbain PMI
;-7.5459843,7.405206;way/786560294;way/786560294;center;;Soleil;Hôpital;Centre médical firdaoss
;-7.5360333,7.4096829;way/786561568;way/786561568;center;;Mistro;Hôpital;Centre médical la providence
;-6.4700052,6.8892634;way/786567918;way/786567918;center;;;Hôpital;Maternité Kennedy 2
;-6.4299361,6.8618163;way/786568443;way/786568443;center;;;Hôpital;Centre de Santé Don Tonino
;-6.4105185,6.8987146;way/786571868;way/786571868;center;;Derahouan;Hôpital;Centre de santé rural de Derahouan
;-6.4626621,6.864865;way/786581256;way/786581256;center;;;Hôpital;Maternité Alassane Ouattara
;-3.2286688,7.7267116;way/786581409;way/786581409;center;;;Hôpital;Dispensaire Rural d'Iguela
;-6.6448721,4.7616111;way/787111699;way/787111699;center;;;Hôpital;HM-SP
;-6.4526665,6.8743404;way/787115258;way/787115258;center;;;Hôpital;Institut National d'hygiène publique
;-6.4403769,6.8557965;way/787125456;way/787125456;center;;Garage;Hôpital;Centre de Santé Urbain
;-6.4519966,6.8892681;way/787127407;way/787127407;center;;Commerce;Hôpital;Centre de santé anti tuberculeux
;-6.439616,6.8826668;way/787130570;way/787130570;center;;Kirman;Hôpital;Centre Hospitalier Régional
;-6.6558205,4.7377188;way/787134143;way/787134143;center;;Lac Sonoco;Hôpital;Centre de santé Donata
;-6.6542913,4.7715804;way/787142461;way/787142461;center;;Bardot18;Hôpital;Protection Maternelle et Infantile
;-6.66608,4.7759158;way/787147590;way/787147590;center;;Colas;Hôpital;Centre de santé le remontant
;-6.6629163,4.7646671;way/787149629;way/787149629;center;;Zimbabwe;Hôpital;
;-3.2067246,5.4672105;way/787158480;way/787158480;center;;;Hôpital;Centre de santé
;-3.9832956,5.3006902;way/787165311;way/787165311;center;;Marcory;Hôpital;Hôpital général de Marcory
;-3.9851357,5.2643158;way/787166374;way/787166374;center;;Port Bouet;Hôpital;Hôpital municipal de Vridi
;-4.0079885,5.3111036;way/787168126;way/787168126;center;;Treichville;Hôpital;Hôpital Général de Treichville
;-3.9694703,5.2874826;way/787170663;way/787170663;center;;Koumassi;Hôpital;Hôpital général de Koumassi
;-4.0246304,5.3488356;way/787171481;way/787171481;center;;Adjame;Hôpital;Hôpital général d'Adjamé
;-3.9575564,5.4008973;way/787172786;way/787172786;center;;Cocody;Hôpital;CHU d'Angré
;-5.400704,9.5750107;way/787174803;way/787174803;center;;;Hôpital;Centre de Santé Urbain de Sinématiali
;-5.384232,9.5868779;way/787175293;way/787175293;center;;;Hôpital;Maternité de Sinématiali
;-4.0570245,5.3257457;way/787175701;way/787175701;center;;Yopougon;Hôpital;Institut national d’hygiène publique Antenne Yopougon
;-5.1235079,8.2148867;way/787177718;way/787177718;center;;;Hôpital;Centre de santé urbain
;-6.9959263,6.2762865;way/787185438;way/787185438;center;;;Hôpital;Centre de santé urbain de buyo plateau
;-5.7736675,9.0716516;way/787188136;way/787188136;center;;;Hôpital;Centre de Santé
;-3.8910736,5.3561668;way/787190655;way/787190655;center;;;Hôpital;PMI Bingerville
;-7.4845318,7.0151758;way/802564724;way/802564724;center;;;Hôpital;Hôpital Général de Bangolo
;-5.3115136,7.848461;way/802570942;way/802570942;center;;;Hôpital;Hopital de Botro
;-7.5315814,7.5540894;way/802603763;way/802603763;center;;;Hôpital;Dispensaire
;-2.7958934,5.2832853;way/802606170;way/802606170;center;;;Hôpital;Centre de Santé Urbain de Noé
;-3.6864698,8.1150674;way/802845346;way/802845346;center;;;Hôpital;Maternité de Yorobodi
;-6.9226198,4.6540869;way/802845347;way/802845347;center;;;Hôpital;
;-4.9986083,7.7273512;way/802862665;way/802862665;center;;;Hôpital;Coordination des Promoteurs de Groupes Poser Zone de Bouaké
;-5.0347551,7.7195582;way/802864994;way/802864994;center;;;Hôpital;Formation Sanitaire Urbaine de Dar Es Salam
;-7.3566639,4.4169403;way/802867239;way/802867239;center;;;Hôpital;Hôpital général de Tabou
;-5.0092009,7.7365327;way/802880170;way/802880170;center;;;Hôpital;Hôpital Materno-Infantile Akwaba-Catalunya
;-6.6654704,4.7609394;way/802892515;way/802892515;center;;Zimbabwe;Hôpital;Formation sanitaire municipal de Zimbabwe
;-6.6773611,4.7653559;way/802894840;way/802894840;center;;;Hôpital;Centre Médical Reel Santé
;-6.6867062,4.7774234;way/802896065;way/802896065;center;;Dafci cathedrale 2;Hôpital;Centre de Santé Urbain Dafci Cathedrale 2
;-6.6274561,5.774332;way/803305293;way/803305293;center;;;Hôpital;Hopital de la cité exploitation
;-6.4027533,6.900133;way/803326696;way/803326696;center;;;Hôpital;Centre de Santé
;-6.4526705,6.8743256;way/803327548;way/803327548;center;;Gbeuli ville;Hôpital;Institut National d'hygiène publique
;-6.4462829,6.8539124;way/803344977;way/803344977;center;;Garage;Hôpital;Hôpital Islamique de Daloa
;-6.6199057,4.736865;way/803347481;way/803347481;center;;Cité;Hôpital;SEMPA(syndicat des entreprises des manutention et de transit des ports Abidjan/San Pedro) médico-social
;-6.681323,4.7705392;way/803348768;way/803348768;center;;Dafci cathedrale 2;Hôpital;Infirmerie le levin
;-6.6551299,4.7775837;way/803348769;way/803348769;center;;Bardot marché;Hôpital;Infirmerie Nabo Felix
;-6.9039732,6.3946843;way/803738499;way/803738499;center;;;Hôpital;Dispensaire de noukpoudou
;-5.2566979,6.847044;way/807905435;way/807905435;center;;;Hôpital;Centre de Santé Sainte Famille
;-5.2737974,6.826797;way/808486875;way/808486875;center;Yamoussoukro;;Hôpital;Protection Maternelle et Infantile (PMI) Yamoussoukro
;-6.0838,4.955552;way/842245187;way/842245187;center;;;Hôpital;Hopital général de Sassandra
;-3.9977536,5.3777505;node/844756662;node/844756662;;Cocody;Deux Plateaux;Pharmacie;Pharmacie Espace Santé
;-3.9930822,5.3829382;node/845980478;node/845980478;;;;Pharmacie;Pharmacie Les Tulipes
;-5.2803785,6.8881984;way/858890296;way/858890296;center;;;Hôpital;centre ophtamologique de KAMI
;-5.27301,6.8009538;way/858894180;way/858894180;center;yamoussoukro;;Hôpital;pharmacie xiliwangha
;-3.9365812,5.3805427;way/859581927;way/859581927;center;;;Hôpital;
;-5.1971882,8.7873595;way/875816994;way/875816994;center;;;Hôpital;CENTRE DE SANTE ARIKOKAHA
;-7.5599375,9.5025918;way/880367603;way/880367603;center;;;Hôpital;Centre Hospitalier d'Odienné
;-3.9836909,5.4076938;node/1332317307;node/1332317307;;;;Pharmacie;Pharmacie Luminance K
;-3.7364461,5.2201832;node/1625055493;node/1625055493;;;;Clinique médicale;Clinique Siloé
;-4.0179993,5.3176661;node/1723096996;node/1723096996;;;;Pharmacie;Pharmacie de la République
;-4.0182668,5.3158307;node/1723096997;node/1723096997;;;;Pharmacie;Pharmacie de la Gare-Sud
;-3.9877577,5.303775;node/1951803422;node/1951803422;;;;Pharmacie;Pharmacie Sainte Thérèse
;-3.9848761,5.299279;node/1951820175;node/1951820175;;Marcory;;Pharmacie;Pharmacie Massarana
;-3.994634,5.3072654;node/1951868956;node/1951868956;;Abidjan;Marcory Residentiel;Pharmacie;Pharmacie des Lagunes
;-3.985621,5.3068044;node/1951889687;node/1951889687;;Marcory;;Pharmacie;Pharmacie TSF
;-3.9489492,5.3285036;node/1987355313;node/1987355313;;;;Pharmacie;Pharmacie M'Pouto - CIAD
;-4.0188051,5.3221398;node/2082702548;node/2082702548;;Plateau;;Pharmacie;Pharmacie Niacadie
;-4.0178124,5.3220646;node/2082702551;node/2082702551;;;;Pharmacie;Pharmacie centrale
;-4.0171472,5.3154968;node/2082702564;node/2082702564;;;;Pharmacie;Pharmacie Mazuet
;-4.0261642,5.368952;node/2381344497;node/2381344497;;;;Pharmacie;Pharmacie Aimess
;-4.0205371,5.3658535;node/2381472149;node/2381472149;;;;Pharmacie;Pharmacie Williamsville
;-4.021636,5.3672283;node/2381472152;node/2381472152;;;;Pharmacie;Pharmacie du Progres
;-4.0232747,5.3672232;node/2382090539;node/2382090539;;;;Clinique médicale;Maternité Urbaine de Williamsville
;-4.0163607,5.3537077;node/2382127906;node/2382127906;;;;Pharmacie;Pharmacie Makissi
;-4.0172334,5.3503866;node/2382468257;node/2382468257;;;;Pharmacie;Pharmacie le Belier
;-4.0370177,5.3475083;node/2385915173;node/2385915173;;Attécoubé;;Pharmacie;Fatima
;-4.0164336,5.364705;node/2388866090;node/2388866090;;;;Pharmacie;Pharmacie l'Emmanuel
;-4.0345663,5.3453334;node/2407403822;node/2407403822;;Attécoubé;;Pharmacie;Montana
;-4.0337071,5.3432042;node/2407423454;node/2407423454;;Attécoubé;;Pharmacie;Pharmacie du Rond Point
;-4.0317393,5.3508986;node/2427131501;node/2427131501;;Attécoubé;;Pharmacie;Pharmacie d'Attécoubé
;-3.9770997,5.3085936;node/2434350774;node/2434350774;;;;Pharmacie;Pharmacie Roma d'Anoumabo
;-3.9826212,5.2912762;node/2440424263;node/2440424263;;;;Pharmacie;Pharmacie Pierre & Marie Curie
;-3.9977545,5.2926887;node/2443198521;node/2443198521;;Treichville;;Pharmacie;Pharmacie Illman
;-4.0168001,5.3486342;node/2444120004;node/2444120004;;Adjamé;;Pharmacie;Pharmacie la Providence
;-4.0156957,5.3569827;node/2444655347;node/2444655347;;;;Pharmacie;Pharmacie Sarah
;-3.963643,5.3070916;node/2445138436;node/2445138436;;;;Pharmacie;Pharmacie les Remblais
;-3.737831,5.2112879;node/2445723298;node/2445723298;;Grand Bassam;;Pharmacie;Pharmacie Colombe
;-4.0531533,5.3457189;node/2446130571;node/2446130571;;Yopougon;;Pharmacie;Pharmacie Afia
;-4.067955,5.3406652;node/2446130572;node/2446130572;;Yopougon;;Pharmacie;Pharmacie Awale
;-4.0635961,5.3468205;node/2446130573;node/2446130573;;Yopougon;;Pharmacie;Pharmacie Bel-Air
